Java Code,Pseudocode Equivalent
"int x = 5;","x = 5"
"double y = 2.5;","y = 2.5"
"boolean flag = x < y;","flag = (x < y)"
"x = x + 10;","x = x + 10"
"if (x > 0) { System.out.println(""Positive""); } else { System.out.println(""Non-positive""); }","IF x > 0 THEN\n    OUTPUT ""Positive""\nELSE\n    OUTPUT ""Non-positive""\nEND IF"
"if (score >= 90) { grade = ""A""; } else if (score >= 75) { grade = ""B""; } else { grade = ""C""; }","IF score >= 90 THEN\n    grade = ""A""\nELSE IF score >= 75 THEN\n    grade = ""B""\nELSE\n    grade = ""C""\nEND IF"
"for (int i = 0; i < 5; i++) { System.out.println(i); }","LOOP i FROM 0 TO 4\n    OUTPUT i\nEND LOOP"
"for (int j = 1; j <= 5; j += 2) { sum += j; }","LOOP j FROM 1 TO 5 STEP 2\n    sum = sum + j\nEND LOOP"
"while (n > 0) { n--; }","LOOP WHILE n > 0\n    n = n - 1\nEND LOOP"
"do { x++; } while (x < 10);","LOOP\n    x = x + 1\nUNTIL x >= 10"
"int[] arr = new int[3];","DECLARE arr AS INTEGER ARRAY OF SIZE [3]"
"arr[0] = 10;","arr[0] = 10"
"arr[1] = arr[0] + 5;","arr[1] = arr[0] + 5"
"System.out.println(arr[1]);","OUTPUT arr[1]"
"int[][] matrix = new int[2][3];","DECLARE matrix AS INTEGER ARRAY OF SIZE [2][3]"
"matrix[i][j] = i + j;","matrix[i][j] = i + j"
"Stack<String> stack = new Stack<>(); stack.push(""IB""); String s = stack.pop();","stack.push(""IB"")\ns = stack.pop()"
"Queue<String> queue = new LinkedList<>(); queue.enqueue(""Alice""); String name = queue.dequeue();","queue.enqueue(""Alice"")\nname = queue.dequeue()"
"List<Integer> list = new ArrayList<>(); list.add(5); int first = list.get(0);","list.addItem(5)\nfirst = list[0]"
"Map<String,Integer> map = new HashMap<>(); map.put(""Alice"",3); int v = map.get(""Alice"");","map[""Alice""] = 3\nv = map[""Alice""]"
"Scanner sc = new Scanner(System.in); int n = sc.nextInt();","INPUT n"
"System.out.println(""Hello"");","OUTPUT ""Hello"""
"for (int i = 0; i < 3; i++) { if (i % 2 == 0) { System.out.println(i); } }","LOOP i FROM 0 TO 2\n    IF i mod 2 = 0 THEN\n        OUTPUT i\n    END IF\nEND LOOP"
Java Code,Pseudocode Equivalent
"int x;","DECLARE x AS INTEGER"
"int x = 0;","x = 0"
"double y = 3.14;","y = 3.14"
"boolean ok = true;","ok = TRUE"
"char c = 'A';","c = 'A'"
"String name = ""Atsu"";","name = ""Atsu"""
"int a = 5, b = 2;","a = 5\nb = 2"
"x = 7;","x = 7"
"x = x + 1;","x = x + 1"
"x += 1;","x = x + 1"
"x -= 3;","x = x - 3"
"x *= 4;","x = x * 4"
"x /= 2;","x = x / 2"
"x %= 3;","x = x mod 3"
"x++;","x = x + 1"
"--x;","x = x - 1"
"int z = (a + b) * 2;","z = (a + b) * 2"
"int z = a + b * 2;","z = a + b * 2"
"double avg = (a + b) / 2.0;","avg = (a + b) / 2.0"
"boolean p = a > b;","p = (a > b)"
"boolean p = a >= b;","p = (a >= b)"
"boolean p = a == b;","p = (a = b)"
"boolean p = a != b;","p = (a <> b)"
"boolean p = (a > 0) && (b > 0);","p = (a > 0) AND (b > 0)"
"boolean p = (a > 0) || (b > 0);","p = (a > 0) OR (b > 0)"
"boolean p = !(a > 0);","p = NOT (a > 0)"
"String s = ""Hi "" + name;","s = ""Hi "" + name"
"if (x > 0) { y = 1; }","IF x > 0 THEN\n    y = 1\nEND IF"
"if (x > 0) { y = 1; } else { y = -1; }","IF x > 0 THEN\n    y = 1\nELSE\n    y = -1\nEND IF"
"if (score >= 90) { grade = ""A""; } else if (score >= 75) { grade = ""B""; } else { grade = ""C""; }","IF score >= 90 THEN\n    grade = ""A""\nELSE IF score >= 75 THEN\n    grade = ""B""\nELSE\n    grade = ""C""\nEND IF"
"if (x > 10) { if (y < 5) { z = 1; } else { z = 2; } }","IF x > 10 THEN\n    IF y < 5 THEN\n        z = 1\n    ELSE\n        z = 2\n    END IF\nEND IF"
"if (x > 0 && y > 0) { ok = true; }","IF (x > 0) AND (y > 0) THEN\n    ok = TRUE\nEND IF"
"if (x > 0 || y > 0) { ok = true; } else { ok = false; }","IF (x > 0) OR (y > 0) THEN\n    ok = TRUE\nELSE\n    ok = FALSE\nEND IF"
"for (int i = 0; i < 5; i++) { sum += i; }","LOOP i FROM 0 TO 4\n    sum = sum + i\nEND LOOP"
"for (int i = 1; i <= 10; i++) { prod *= i; }","LOOP i FROM 1 TO 10\n    prod = prod * i\nEND LOOP"
"for (int i = 10; i >= 0; i--) { System.out.println(i); }","LOOP i FROM 10 DOWNTO 0\n    OUTPUT i\nEND LOOP"
"for (int i = 0; i < 10; i += 2) { evenSum += i; }","LOOP i FROM 0 TO 8 STEP 2\n    evenSum = evenSum + i\nEND LOOP"
"int i = 0; while (i < 3) { i++; }","i = 0\nLOOP WHILE i < 3\n    i = i + 1\nEND LOOP"
"while (n > 0) { n--; }","LOOP WHILE n > 0\n    n = n - 1\nEND LOOP"
"do { x++; } while (x < 10);","LOOP\n    x = x + 1\nUNTIL x >= 10"
"int[] arr = new int[5];","DECLARE arr AS INTEGER ARRAY OF SIZE [5]"
"arr[0] = 10;","arr[0] = 10"
"arr[1] = arr[0] + 5;","arr[1] = arr[0] + 5"
"int v = arr[2];","v = arr[2]"
"arr[4] = arr[4] * 2;","arr[4] = arr[4] * 2"
"int[] arr = {1,2,3};","DECLARE arr AS INTEGER ARRAY OF SIZE [3]\narr[0] = 1\narr[1] = 2\narr[2] = 3"
"for (int k = 0; k < arr.length; k++) { sum += arr[k]; }","LOOP k FROM 0 TO LENGTH(arr) - 1\n    sum = sum + arr[k]\nEND LOOP"
"int[][] m = new int[2][3];","DECLARE m AS INTEGER ARRAY OF SIZE [2][3]"
"m[1][2] = 7;","m[1][2] = 7"
"int t = m[i][j];","t = m[i][j]"
"for (int r = 0; r < 2; r++) { for (int c = 0; c < 3; c++) { m[r][c] = r + c; } }","LOOP r FROM 0 TO 1\n    LOOP c FROM 0 TO 2\n        m[r][c] = r + c\n    END LOOP\nEND LOOP"
"for (int r = 0; r < 2; r++) { for (int c = 0; c < 3; c++) { if (m[r][c] % 2 == 0) { count++; } } }","LOOP r FROM 0 TO 1\n    LOOP c FROM 0 TO 2\n        IF (m[r][c] mod 2) = 0 THEN\n            count = count + 1\n        END IF\n    END LOOP\nEND LOOP"
"Scanner sc = new Scanner(System.in); int n = sc.nextInt();","INPUT n"
"Scanner sc = new Scanner(System.in); double d = sc.nextDouble();","INPUT d"
"Scanner sc = new Scanner(System.in); String line = sc.nextLine();","INPUT line"
"System.out.println(""Hello"");","OUTPUT ""Hello"""
"System.out.println(""Value: "" + n);","OUTPUT ""Value: "", n"
"System.out.print(""Enter x: ""); x = sc.nextInt();","OUTPUT ""Enter x: ""\nINPUT x"
"for (int i = 0; i < 3; i++) { if (i % 2 == 0) { for (int j = 0; j < 2; j++) { System.out.println(i + "","" + j); } } }","LOOP i FROM 0 TO 2\n    IF (i mod 2) = 0 THEN\n        LOOP j FROM 0 TO 1\n            OUTPUT i, "","", j\n        END LOOP\n    END IF\nEND LOOP"
"if (x > 0) { for (int i = 0; i < 3; i++) { sum += i; } } else { sum = 0; }","IF x > 0 THEN\n    LOOP i FROM 0 TO 2\n        sum = sum + i\n    END LOOP\nELSE\n    sum = 0\nEND IF"
"Stack<Integer> st = new Stack<>(); st.push(5); int top = st.pop();","st.push(5)\ntop = st.pop()"
"Stack<Integer> st = new Stack<>(); st.push(1); st.push(2); int p = st.peek();","st.push(1)\nst.push(2)\np = st.peek()"
"Queue<String> q = new LinkedList<>(); q.enqueue(""A""); String s = q.dequeue();","q.enqueue(""A"")\ns = q.dequeue()"
"Queue<String> q = new LinkedList<>(); q.enqueue(""A""); String s = q.peek();","q.enqueue(""A"")\ns = q.peek()"
"List<Integer> list = new ArrayList<>(); list.add(7);","list.addItem(7)"
"List<Integer> list = new ArrayList<>(); list.add(7); int x = list.get(0);","list.addItem(7)\nx = list[0]"
"List<Integer> list = new ArrayList<>(); list.add(7); list.set(0,9);","list.addItem(7)\nlist[0] = 9"
"List<Integer> list = new ArrayList<>(); list.add(7); list.remove(0);","list.addItem(7)\nlist.removeItemAt(0)"
"Map<String,Integer> map = new HashMap<>(); map.put(""A"",1);","map[""A""] = 1"
"Map<String,Integer> map = new HashMap<>(); map.put(""A"",1); int v = map.get(""A"");","map[""A""] = 1\nv = map[""A""]"
"Map<String,Integer> map = new HashMap<>(); map.put(""A"",1); map.remove(""A"");","map[""A""] = 1\nREMOVE map[""A""]"
"Map<String,Integer> map = new HashMap<>(); boolean has = map.containsKey(""A"");","has = CONTAINSKEY(map, ""A"")"
"for (int i = 0; i < 5; i++) { for (int j = 0; j < 5; j++) { grid[i][j] = 0; } }","LOOP i FROM 0 TO 4\n    LOOP j FROM 0 TO 4\n        grid[i][j] = 0\n    END LOOP\nEND LOOP"
"for (int i = 0; i < n; i++) { if (arr[i] > max) { max = arr[i]; } }","LOOP i FROM 0 TO n - 1\n    IF arr[i] > max THEN\n        max = arr[i]\n    END IF\nEND LOOP"
"int i=0; while (i < n) { if (arr[i] == target) { found = true; } i++; }","i = 0\nLOOP WHILE i < n\n    IF arr[i] = target THEN\n        found = TRUE\n    END IF\n    i = i + 1\nEND LOOP"
